email;nom;departement
mairiedebevillers@gmail.com;Centre communal d'action sociale (CCAS) - Bévillers;59
lesmontsdandaine@orange.fr;Centre communal d'action sociale (CCAS) - Les Monts d'Andaine;61
mairie.de.verquigneul@wanadoo.fr;Centre communal d'action sociale (CCAS) - Verquigneul;62
mairie-levroux@wanadoo.fr;Centre communal d'action sociale (CCAS) - Levroux;36
mairie.anvin@orange.fr;Centre communal d'action sociale (CCAS) - Anvin;62
accueil@mairie-hery89550.fr;Centre communal d'action sociale (CCAS) - Héry;89
pccas@mairie-vaulxenvelin.fr;Centre communal d'action sociale (CCAS) - Vaulx-en-Velin;69
mairie@saintandrelegaz.fr;Centre communal d'action sociale (CCAS) - Saint-André-le-Gaz;38
mairie.bonifacio@orange.fr;Centre communal d'action sociale (CCAS) - Bonifacio;2A
ccas-as@mairie-cadenet.fr;Centre communal d'action sociale (CCAS) - Cadenet;84
communedelamoutade@orange.fr;Centre communal d'action sociale (CCAS) - Chambaron sur Morge;63
mairie.hacqueville@orange.fr;Centre communal d'action sociale (CCAS) - Hacqueville;27
mairiedevillainesenduesmois@wanadoo.fr;Centre communal d'action sociale (CCAS) - Villaines-en-Duesmois;21
ccas-saintgeorgesoleron@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Georges-d'Oléron;17
mairie-eply@wanadoo.fr;Centre communal d'action sociale (CCAS) - Éply;54
mairie@st-germain-lespinasse.fr;Centre communal d'action sociale (CCAS) - Saint-Germain-Lespinasse;42
mairie.saintmedarddepresque@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Médard-de-Presque;46
ccas@guipry-messac.bzh;Centre communal d'action sociale (CCAS) - Guipry-Messac;35
mairie@schirrhein.fr;Centre communal d'action sociale (CCAS) - Schirrhein;67
mairie.lordat@wanadoo.fr;Centre communal d'action sociale (CCAS) - Lordat;09
mairie.saintclet@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Clet;22
communefilstroff@wanadoo.fr;Centre communal d'action sociale (CCAS) - Filstroff;57
mairie.sompuis@orange.fr;Centre communal d'action sociale (CCAS) - Sompuis;51
mairie@mirebeausurbeze.com;Centre communal d'action sociale (CCAS) - Mirebeau-sur-Bèze;21
mairie.chamoy@wanadoo.fr;Centre communal d'action sociale (CCAS) - Chamoy;10
ccas@ville-boisleroi.fr;Centre communal d'action sociale (CCAS) - Bois-le-Roi Seine-et-Marne;77
mairie.10grandville@wanadoo.fr;Centre communal d'action sociale (CCAS) - Grandville;10
accueil@ville-molay-littry.fr;Centre communal d'action sociale (CCAS) - Le Molay-Littry;14
info@lestelle-betharram.fr;Centre communal d'action sociale (CCAS) - Lestelle-Bétharram;64
polesocial@ville-lca.fr;Centre communal d'action sociale (CCAS) - La Chapelle-d'Armentières;59
accueil@huille-lezigne.fr;Centre communal d'action sociale (CCAS) - Huillé-Lézigné;49
mairie.de.bona@wanadoo.fr;Centre communal d'action sociale (CCAS) - Bona;58
mairie@fondettes.fr;Centre communal d'action sociale (CCAS) - Fondettes;37
mairie.esternay@wanadoo.fr;Centre communal d'action sociale (CCAS) - Esternay;51
mairie@castillon06.com;Centre communal d'action sociale (CCAS) - Castillon;06
mairie@mairie-ballancourt.fr;Centre communal d'action sociale (CCAS) - Ballancourt-sur-Essonne;91
mairie@lasaulce.fr;Centre communal d'action sociale (CCAS) - La Saulce;05
mairie.alluy@orange.fr;Centre communal d'action sociale (CCAS) - Alluy;58
contact@chambonas.fr;Centre communal d'action sociale (CCAS) - Chambonas;07
secretariat@coucouron.fr;Centre communal d'action sociale (CCAS) - Coucouron;07
mairie.schoenenbourg@wanadoo.fr;Centre communal d'action sociale (CCAS) - Schœnenbourg;67
secretariat@ccas-cleguerec.fr;Centre communal d'action sociale (CCAS) - Cléguérec;56
ccas@mairie-vauclin.fr;Centre communal d'action sociale (CCAS) - Le Vauclin;972
accueil@mairie-roanne.fr;Centre communal d'action sociale (CCAS) - Roanne;42
mairieauresurmer@gmail.com;Centre communal d'action sociale (CCAS) - Aure sur Mer;14
mairie.ardouval@mcom.fr;Centre communal d'action sociale (CCAS) - Ardouval;76
mairiedesaint-sauves@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Sauves-d'Auvergne;63
ccas@hombourg-haut.com;Centre communal d'action sociale (CCAS) - Hombourg-Haut;57
contact@mairie-vaureal.fr;Centre communal d'action sociale (CCAS) - Vauréal;95
ccas@beaucaire.fr;Centre communal d'action sociale (CCAS) - Beaucaire Gard;30
ccas@mairie-miramas.fr;Centre communal d'action sociale (CCAS) - Miramas;13
secretariat-general@comcom-csm.fr;Centre intercommunal d'action sociale (CIAS) de Combrailles Sioule et Morge;63
mairie@pontorson.fr;Centre communal d'action sociale (CCAS) - Pontorson;50
ccas-accueil@mairie-pessac.fr;Centre communal d'action sociale (CCAS) - Pessac;33
villegats@gmail.com;Centre communal d'action sociale (CCAS) - Villegats;27
mairie.sassetotlemalgarde@hotmail.fr;Centre communal d'action sociale (CCAS) - Sassetot-le-Malgardé;76
mairie.chaumuzy@wanadoo.fr;Centre communal d'action sociale (CCAS) - Chaumuzy;51
mairie@soultz-les-bains.fr;Centre communal d'action sociale (CCAS) - Soultz-les-Bains;67
mairie@trevou-treguignec.bzh;Centre communal d'action sociale (CCAS) - Trévou-Tréguignec;22
mairie-fontienne@orange.fr;Centre communal d'action sociale (CCAS) - Fontienne;04
mairiededannes@hotmail.fr;Centre communal d'action sociale (CCAS) - Dannes;62
mairie@epeignelesbois.fr;Centre communal d'action sociale (CCAS) - Épeigné-les-Bois;37
mairie@wancourt.fr;Centre communal d'action sociale (CCAS) - Wancourt;62
ccas@vallet.fr;Centre communal d'action sociale (CCAS) - Vallet;44
contact@mairie-gye.com;Centre communal d'action sociale (CCAS) - Gye;54
commune-de-saint-orens@orange.fr;Centre communal d'action sociale (CCAS) - Saint-Orens;32
info@ville-rhinau.fr;Centre communal d'action sociale (CCAS) - Rhinau;67
mairie@domagne.fr;Centre communal d'action sociale (CCAS) - Domagné;35
ccas97480@ccas.saintjoseph.re;Centre communal d'action sociale (CCAS) - Saint-Joseph La Réunion;974
mairie@chatelet-en-brie.fr;Centre communal d'action sociale (CCAS) - Le Châtelet-en-Brie;77
mairie@ville-souppes.fr;Centre communal d'action sociale (CCAS) - Souppes-sur-Loing;77
mairie@poigny78.fr;Centre communal d'action sociale (CCAS) - Poigny-la-Forêt;78
mairie@mairie-ileauxmoines.fr;Centre communal d'action sociale (CCAS) - Île-aux-Moines;56
mairie.st.antonin.32@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Antonin;32
mairie.this@wanadoo.fr;Centre communal d'action sociale (CCAS) - This;08
mairiefampoux@nordnet.fr;Centre communal d'action sociale (CCAS) - Fampoux;62
mairievitrolles05@wanadoo.fr;Centre communal d'action sociale (CCAS) - Vitrolles Hautes-alpes;05
contact@mairie-laclayette.fr;Centre communal d'action sociale (CCAS) - La Clayette;71
contact@visan-mairie.com;Centre communal d'action sociale (CCAS) - Visan;84
mairie@barnas.fr;Centre communal d'action sociale (CCAS) - Barnas;07
elus@mairie-saintetulle.fr;Centre communal d'action sociale (CCAS) - Sainte-Tulle;04
contact@alizay.fr;Centre communal d'action sociale (CCAS) - Alizay;27
contact@mairie-chalamont.fr;Centre communal d'action sociale (CCAS) - Chalamont;01
mairie@dambach-la-ville.fr;Centre communal d'action sociale (CCAS) - Dambach-la-Ville;67
secretariat@prechac33.fr;Centre communal d'action sociale (CCAS) - Préchac Gironde;33
mairie@genicourt.fr;Centre communal d'action sociale (CCAS) - Génicourt;95
marianne.mairie@wanadoo.fr;Centre communal d'action sociale (CCAS) - Flavy-le-Martel;02
info@mairie-saint-bonnet.net;Centre communal d'action sociale (CCAS) - Saint-Bonnet-en-Champsaur;05
mairie@ville-courdimanche.fr;Centre communal d'action sociale (CCAS) - Courdimanche;95
mairie@frasne.fr;Centre communal d'action sociale (CCAS) - Frasne;25
mairiedecrusnes@wanadoo.fr;Centre communal d'action sociale (CCAS) - Crusnes;54
mairie@langonnet.bzh;Centre communal d'action sociale (CCAS) - Langonnet;56
social@mairie-itteville.fr;Centre communal d'action sociale (CCAS) - Itteville;91
ccas@castets-et-castillon.fr;Centre communal d'action sociale (CCAS) - Castets-et-Castillon;33
mairie.trondes@wanadoo.fr;Centre communal d'action sociale (CCAS) - Trondes;54
ccas@ville-lhay94.fr;Centre communal d'action sociale (CCAS) - L'Haÿ-les-Roses;94
contact.mairie@coarraze.fr;Centre communal d'action sociale (CCAS) - Coarraze;64
contact@chaniers.fr;Centre communal d'action sociale (CCAS) - Chaniers;17
mairie.germolles_sur_grosne@laposte.net;Centre communal d'action sociale (CCAS) - Germolles-sur-Grosne;71
verniolle.mairie@wanadoo.fr;Centre communal d'action sociale (CCAS) - Verniolle;09
servicesocial-ccas@ville-lagorgue.fr;Centre communal d'action sociale (CCAS) - La Gorgue;59
mairie.crepey@wanadoo.fr;Centre communal d'action sociale (CCAS) - Crépey;54
lamairie@mairie-thiron-gardais.fr;Centre communal d'action sociale (CCAS) - Thiron-Gardais;28
ccas@ville-feignies.fr;Centre communal d'action sociale (CCAS) - Feignies;59
ccas@stseurinsurlisle.com;Centre communal d'action sociale (CCAS) - Saint-Seurin-sur-l'Isle;33
contact@ccasdenain.fr;Centre communal d'action sociale (CCAS) - Denain;59
accueil.informations@frouard.fr;Centre communal d'action sociale (CCAS) - Frouard;54
ccas@lasuze.fr;Centre communal d'action sociale (CCAS) - La Suze-sur-Sarthe;72
accueil@mairie-aoste.org;Centre communal d'action sociale (CCAS) - Aoste;38
mairiedeplaimpied@wanadoo.fr;Centre communal d'action sociale (CCAS) - Plaimpied-Givaudins;18
pussay.mairie@wanadoo.fr;Centre communal d'action sociale (CCAS) - Pussay;91
mairie.fepin@wanadoo.fr;Centre communal d'action sociale (CCAS) - Fépin;08
direction@ciasgl.fr;Centre intercommunal d'action sociale (CIAS) des Grands Lacs;40
accueil.longages@hotmail.fr;Centre communal d'action sociale (CCAS) - Longages;31
mairie@ahuille.fr;Centre communal d'action sociale (CCAS) - Ahuillé;53
mairie@mairie-de-vezins.com;Centre communal d'action sociale (CCAS) - Vezins;49
mairie.le.genest.saint.isle@wanadoo.fr;Centre communal d'action sociale (CCAS) - Le Genest-Saint-Isle;53
mairie.les.mages@gmail.com;Centre communal d'action sociale (CCAS) - Les Mages;30
mairie.desertines@wanadoo.fr;Centre communal d'action sociale (CCAS) - Désertines Mayenne;53
secretariat.mairie@blancafort.fr;Centre communal d'action sociale (CCAS) - Blancafort;18
mairie@chevreuse.fr;Centre communal d'action sociale (CCAS) - Chevreuse;78
ccas@ville-hasparren.fr;Centre communal d'action sociale (CCAS) - Hasparren;64
mairie.dambenois@wanadoo.fr;Centre communal d'action sociale (CCAS) - Dambenois;25
ccas@lorris.fr;Centre communal d'action sociale (CCAS) - Lorris;45
ccas@varennes-sur-seine.fr;Centre communal d'action sociale (CCAS) - Varennes-sur-Seine;77
mairie.st-louis@wanadoo.fr;Centre communal d'action sociale (CCAS) - Saint-Louis Guadeloupe;971
mairie@mairie-lesbordes.fr;Centre communal d'action sociale (CCAS) - Les Bordes;45
commune@monteneuf.com;Centre communal d'action sociale (CCAS) - Monteneuf;56
mairie.drulingen@mairie-drulingen.fr;Centre communal d'action sociale (CCAS) - Drulingen;67
ccas@mouans-sartoux.net;Centre communal d'action sociale (CCAS) - Mouans-Sartoux;06
mairie@saint-laurent-de-la-salanque.fr;Centre communal d'action sociale (CCAS) - Saint-Laurent-de-la-Salanque;66
mairie@ville-maurs.fr;Centre communal d'action sociale (CCAS) - Maurs;15
mairie.lignyencambresis@orange.fr;Centre communal d'action sociale (CCAS) - Ligny-en-Cambrésis;59
ccas@miramontdeguyenne.fr;Centre communal d'action sociale (CCAS) - Miramont-de-Guyenne;47
ccas@ferney-voltaire.fr;Centre communal d'action sociale (CCAS) - Ferney-Voltaire;01
mairie@saintsymphoriendozon.fr;Centre communal d'action sociale (CCAS) - Saint-Symphorien-d'Ozon;69
mairie.la-trinite-des-laitiers@wanadoo.fr;Centre communal d'action sociale (CCAS) - La Trinité-des-Laitiers;61
mairie.viols-le-fort@orange.fr;Centre communal d'action sociale (CCAS) - Viols-le-Fort;34
secretariat@louchats.fr;Centre communal d'action sociale (CCAS) - Louchats;33
mairie@letronchet.eu;Centre communal d'action sociale (CCAS) - Le Tronchet;35
affairesgenerales@valenceenpoitou.fr;Centre communal d'action sociale (CCAS) - Valence-en-Poitou;86
mairie-larocheblanchegergovie@orange.fr;Centre communal d'action sociale (CCAS) - La Roche-Blanche;63
mairie@montillysurnoireau.fr;Centre communal d'action sociale (CCAS) - Montilly-sur-Noireau;61
mairie-de-tournehem@wanadoo.fr;Centre communal d'action sociale (CCAS) - Tournehem-sur-la-Hem;62
ccas@loroux-bottereau.fr;Centre communal d'action sociale (CCAS) - Le Loroux-Bottereau;44
mairie-de-vieux-rouen-sur-bresle@wanadoo.fr;Centre communal d'action sociale (CCAS) - Vieux-Rouen-sur-Bresle;76
accueil@ccas-robion.fr;Centre communal d'action sociale (CCAS) - Robion;84
secretariat@arnieres-sur-iton.fr;Centre communal d'action sociale (CCAS) - Arnières-sur-Iton;27
mairie@crecylachapelle.eu;Centre communal d'action sociale (CCAS) - Crécy-la-Chapelle;77
ville@creutzwald.fr;Centre communal d'action sociale (CCAS) - Creutzwald;57
mairie.salviac@orange.fr;Centre communal d'action sociale (CCAS) - Salviac;46
contact@mairie-rochecorbon.fr;Centre communal d'action sociale (CCAS) - Rochecorbon;37
mairie@mairieouzouersurloire.fr;Centre communal d'action sociale (CCAS) - Ouzouer-sur-Loire;45
accueil@flers-agglo.fr;Centre communal d'action sociale (CCAS) - Flers;61
montberon2020@gmail.com;Centre communal d'action sociale (CCAS) - Montberon;31
mairie@gresswiller.fr;Centre communal d'action sociale (CCAS) - Gresswiller;67
